Time;ActivePower;RotorRPM;WindSpeed
2020-03-22 03:50:00+00:00;-6.243657374;-12.09971679;2.336678821
2020-03-22 04:00:00+00:00;-5.634198853;-10.56604609;1.644123459
2020-03-22 04:10:00+00:00;-5.838443872;-10.33992939;1.955560989
2020-03-22 04:20:00+00:00;-5.848033347;-11.05935553;2.208715621
2020-03-22 04:30:00+00:00;-8.960378556;-24.27089622;1.989638822
2020-03-22 04:40:00+00:00;-8.720143063;-23.2197505;1.884887454
2020-03-22 04:50:00+00:00;-8.711556222;-22.922424;2.303033206
2020-03-22 05:00:00+00:00;-6.476280059;-14.71436447;2.309535165
2020-03-22 05:10:00+00:00;-6.012691906;-11.55358624;2.136999876
2020-03-22 05:20:00+00:00;-5.296792067;-10.43063661;2.015149911
2020-03-22 05:30:00+00:00;-5.919828005;-10.70521216;2.315457721
2020-03-22 05:40:00+00:00;-5.263196583;-10.49082594;2.080338711
2020-03-22 05:50:00+00:00;-5.254652842;-10.41612679;1.916647279
2020-03-22 06:00:00+00:00;-7.404719724;-16.97876165;2.659658694
2020-03-22 06:10:00+00:00;-6.40608675;-13.61127322;2.963622094
2020-03-22 06:20:00+00:00;-6.611863326;-11.24690426;2.339120942
2020-03-22 06:30:00+00:00;-5.249461311;-10.12119972;2.041305415
2020-03-22 06:40:00+00:00;-5.332730416;-11.37514618;2.036415711
2020-03-22 06:50:00+00:00;-6.302567047;-12.82001663;2.539320926
2020-03-22 07:00:00+00:00;-7.216247259;-15.75716094;2.581111671
2020-03-22 07:10:00+00:00;-7.516113;-15.87551716;2.999441995
2020-03-22 07:20:00+00:00;3.396293737;-7.8103773;2.874341968
2020-03-22 07:30:00+00:00;-8.843811153;-15.66632932;2.470123406
2020-03-22 07:40:00+00:00;-8.971949428;-15.62288869;2.985816494
2020-03-22 07:50:00+00:00;16.99760406;-3.49435812;3.284016528
2020-03-22 08:00:00+00:00;-7.8377953;-13.16031274;2.878815679
2020-03-22 08:10:00+00:00;-9.664348894;-17.75878981;3.315540976
2020-03-22 08:20:00+00:00;29.78604653;2.212359217;3.337888778
2020-03-22 08:30:00+00:00;17.98112343;-2.790129242;3.145515642
2020-03-22 08:40:00+00:00;-11.29174829;-20.26045;3.530522094
2020-03-22 08:50:00+00:00;-9.157691629;-14.61936559;3.039088088
2020-03-22 09:00:00+00:00;-2.2907425;-10.66754048;2.646405158
2020-03-22 09:10:00+00:00;-8.453904972;-12.91747456;2.366922117
2020-03-22 09:20:00+00:00;38.54246761;2.639300316;3.506605121
2020-03-22 09:30:00+00:00;66.72784688;13.91097563;3.158758682
2020-03-22 09:40:00+00:00;35.65379047;3.345508657;3.382438711
2020-03-22 09:50:00+00:00;4.248056694;-11.68865166;3.446360922
2020-03-22 10:00:00+00:00;384.0900921;78.81904084;5.339905095
2020-03-22 10:10:00+00:00;257.2588028;52.63280059;4.69110478
2020-03-22 10:20:00+00:00;297.503005;61.5953805;4.690155372
2020-03-22 10:30:00+00:00;105.4449472;22.95216184;3.688115542
2020-03-22 10:40:00+00:00;140.189727;26.92314365;3.936070435
2020-03-22 10:50:00+00:00;160.0960118;30.89797532;3.957842005
2020-03-22 11:00:00+00:00;8.684159767;-4.087868143;3.264255428
2020-03-22 11:10:00+00:00;53.68414668;6.273113895;3.748589337
2020-03-22 11:20:00+00:00;224.0369203;45.82633871;4.590589363
2020-03-22 11:30:00+00:00;166.2267815;34.16493256;4.1836887
2020-03-22 11:40:00+00:00;31.45145423;6.560749514;3.146510395
2020-03-22 11:50:00+00:00;-8.775292547;-16.33528026;2.753115605
2020-03-22 12:00:00+00:00;58.23065723;11.07797177;3.394724856
2020-03-22 12:10:00+00:00;44.14241929;6.324290579;3.77545695
2020-03-22 12:20:00+00:00;336.3128115;67.6760157;5.302759775
2020-03-22 12:30:00+00:00;244.0614805;49.98536258;4.764736626
2020-03-22 12:40:00+00:00;207.6665171;43.04943018;4.723229271
2020-03-22 12:50:00+00:00;210.5629416;42.388027;4.620752437
2020-03-22 13:00:00+00:00;215.3245461;43.5220055;4.710905306
2020-03-22 13:10:00+00:00;316.1232037;63.61244655;5.15329477
2020-03-22 13:20:00+00:00;284.3191995;57.56396205;4.898584053
2020-03-22 13:30:00+00:00;408.3639065;82.26735376;5.567146959
2020-03-22 13:40:00+00:00;454.0445221;89.359766;5.496878763
2020-03-22 13:50:00+00:00;533.5826556;107.892688;5.965788722
2020-03-22 14:00:00+00:00;513.1142921;102.6226064;5.902920905
2020-03-22 14:10:00+00:00;547.1365159;111.0893062;5.712670447
2020-03-22 14:20:00+00:00;673.2062989;59.02812329;6.393731374
2020-03-22 14:30:00+00:00;980.8281353;21.10912284;7.064868232
2020-03-22 14:40:00+00:00;1493.367794;-49.66638717;8.1607663
2020-03-22 14:50:00+00:00;1112.253013;-18.43515171;7.710021794
2020-03-22 15:00:00+00:00;983.2860022;31.23130579;7.309510184
2020-03-22 15:10:00+00:00;832.1494247;65.85711995;6.937762953
2020-03-22 15:20:00+00:00;815.6236394;79.2618945;6.737799744
2020-03-22 15:30:00+00:00;687.3472321;132.3855715;6.124378753
2020-03-22 15:40:00+00:00;837.7377241;170.4865224;6.584758659
2020-03-22 15:50:00+00:00;1006.008036;203.6963056;7.51166065
2020-03-22 16:00:00+00:00;934.2729089;192.8926344;7.2772608
2020-03-22 16:10:00+00:00;687.8405221;138.0652639;6.511326195
2020-03-22 16:20:00+00:00;600.4637679;123.0904176;6.138873468
2020-03-22 16:30:00+00:00;498.4127061;100.2632709;5.806810922
2020-03-22 16:40:00+00:00;496.4408105;100.5726752;5.835231395
